neuron,label,count
437,C,1
437,Z,1
437,Y,1
437,S,1
437,E,1
437,T,1
437,G,1
437,F,1
437,U,1
437,K,1
1200,C,2
1200,U,2
1200,P,1
1200,F,1
1200,R,1
1200,D,1
1200,S,1
1200,J,1
472,C,2
472,V,1
472,L,1
472,J,1
472,D,2
472,E,1
472,Q,1
472,O,1
2133,V,1
2133,T,1
2133,P,1
2133,L,1
2133,Z,1
2133,S,1
2133,[,1
2133,B,1
2133,E,1
2133,I,1
2176,Z,2
2176,V,1
2176,I,1
2176,X,1
2176,P,1
2176,Q,2
2176,D,1
2176,G,1
1568,Y,1
1568,N,1
1568,S,2
1568,T,1
1568,R,1
1568,C,1
1568,Z,1
1568,G,1
1568,P,1
736,M,1
736,H,1
736,Z,2
736,K,1
736,Q,1
736,Y,1
736,D,1
736,O,1
736,W,1
1595,W,1
1595,C,1
1595,R,1
1595,K,1
1595,E,1
1595,T,1
1595,M,1
1595,Y,1
1595,U,1
1595,V,1
1144,T,1
1144,M,1
1144,Y,1
1144,E,1
1144,V,1
1144,L,1
1144,D,1
1144,P,1
1144,K,2
773,C,2
773,N,1
773,R,1
773,X,1
773,H,2
773,V,1
773,W,1
773,O,1
1101,C,1
1101,W,2
1101,F,1
1101,Q,1
1101,N,1
1101,D,1
1101,P,1
1101,J,1
1101,O,1
1942,S,1
1942,E,1
1942,C,1
1942,P,1
1942,O,1
1942,M,1
1942,N,1
1942,J,1
1942,B,2
2277,Y,1
2277,D,1
2277,S,1
2277,G,1
2277,V,1
2277,W,1
2277,O,1
2277,N,1
2277,B,1
2277,L,1
36,W,1
36,Y,1
36,L,2
36,N,1
36,R,1
36,E,1
36,P,1
36,O,1
36,Q,1
73,C,2
73,V,1
73,Z,1
73,W,1
73,U,1
73,E,1
73,Q,1
73,M,1
73,J,1
1669,X,1
1669,Z,1
1669,U,1
1669,I,1
1669,P,1
1669,C,1
1669,F,1
1669,K,1
1669,H,1
1669,T,1
858,F,1
858,G,1
858,W,1
858,E,1
858,Y,2
858,S,1
858,O,1
858,I,1
858,B,1
1059,Z,1
1059,U,2
1059,Y,1
1059,M,1
1059,R,1
1059,E,1
1059,X,1
1059,P,1
1059,V,1
1488,Y,2
1488,C,3
1488,W,1
1488,T,1
1488,S,2
1488,D,1
143,J,1
143,E,1
143,O,2
143,Z,1
143,T,1
143,C,1
143,B,1
143,V,1
143,U,1
900,Z,2
900,O,1
900,J,1
900,V,1
900,D,2
900,P,1
900,G,1
900,Y,1
592,R,1
592,Z,1
592,H,1
592,X,1
592,G,1
592,Y,1
592,D,1
592,N,1
592,L,1
592,S,1
945,O,1
945,C,1
945,E,1
945,H,1
945,W,2
945,T,2
945,S,1
945,G,1
1774,W,3
1774,N,1
1774,Y,2
1774,M,1
1774,D,1
1774,B,1
1774,Q,1
2096,W,2
2096,S,1
2096,Y,2
2096,E,3
2096,[,1
2096,J,1
1358,O,1
1358,W,1
1358,C,1
1358,N,1
1358,T,1
1358,G,1
1358,E,1
1358,Y,1
1358,D,1
1358,R,1
1430,F,1
1430,G,1
1430,Z,2
1430,[,1
1430,D,2
1430,T,1
1430,W,1
1430,O,1
242,L,1
242,W,1
242,M,1
242,I,1
242,F,2
242,B,1
242,C,1
242,D,1
242,Q,1
1475,K,1
1475,M,1
1475,C,1
1475,J,1
1475,N,1
1475,L,1
1475,Y,1
1475,D,1
1475,P,2
207,W,2
207,G,1
207,E,2
207,S,2
207,R,1
207,Y,1
207,O,1
2056,U,2
2056,C,2
2056,D,1
2056,S,3
2056,B,2
1320,O,1
1320,J,2
1320,Y,1
1320,F,1
1320,M,1
1320,E,2
1320,C,1
1320,B,1
552,C,1
552,S,2
552,O,1
552,X,1
552,G,2
552,W,1
552,J,1
552,M,1
985,W,1
985,B,1
985,G,2
985,H,1
985,N,3
985,S,1
985,X,1
1365,C,2
1365,N,1
1365,S,1
1365,Y,1
1365,O,1
1365,E,1
1365,W,1
1365,L,1
1365,[,1
517,Q,1
517,C,2
517,J,1
517,Y,1
517,M,1
517,G,1
517,S,1
517,B,1
517,D,1
1448,C,1
1448,T,1
1448,U,2
1448,E,1
1448,S,1
1448,V,1
1448,D,1
1448,X,1
1448,J,1
653,W,1
653,Y,2
653,R,1
653,U,1
653,K,1
653,J,2
653,X,1
653,P,1
1862,S,1
1862,Z,2
1862,I,1
1862,J,1
1862,F,1
1862,Q,1
1862,E,1
1862,R,1
1862,D,1
282,C,1
282,T,2
282,Y,2
282,G,1
282,K,1
282,I,1
282,E,1
282,J,1
1021,R,1
1021,C,1
1021,E,2
1021,W,2
1021,U,1
1021,X,1
1021,B,1
1021,K,1
616,S,2
616,T,1
616,X,1
616,C,1
616,N,1
616,O,1
616,M,1
616,V,1
616,U,1
1827,O,1
1827,C,2
1827,S,1
1827,G,1
1827,E,2
1827,D,1
1827,I,1
1827,N,1
1064,B,1
1064,L,1
1064,E,1
1064,U,1
1064,T,1
1064,F,1
1064,C,1
1064,P,1
1064,K,1
1064,J,1
1749,S,1
1749,W,2
1749,E,1
1749,Y,1
1749,C,2
1749,F,1
1749,L,1
1749,B,1
1179,R,1
1179,E,1
1179,N,2
1179,Y,2
1179,P,1
1179,U,1
1179,Z,1
1179,C,1
1285,E,1
1285,N,1
1285,C,2
1285,W,1
1285,Y,2
1285,S,1
1285,[,1
1285,G,1
865,Z,1
865,G,1
865,L,1
865,F,2
865,K,1
865,M,1
865,O,1
865,R,1
865,Y,1
1654,U,1
1654,W,2
1654,C,3
1654,E,1
1654,S,2
1654,D,1
1278,C,2
1278,G,1
1278,T,2
1278,F,1
1278,S,1
1278,E,1
1278,L,1
1278,Z,1
898,V,1
898,X,1
898,G,2
898,N,1
898,E,1
898,J,1
898,T,2
898,U,1
1555,W,1
1555,I,1
1555,E,1
1555,F,2
1555,D,1
1555,Q,1
1555,O,1
1555,M,1
1555,[,1
327,V,1
327,L,2
327,X,1
327,H,1
327,P,1
327,S,1
327,F,1
327,Y,1
327,J,1
1184,C,3
1184,R,1
1184,G,1
1184,W,1
1184,S,1
1184,Z,1
1184,E,1
1184,F,1
362,S,1
362,M,1
362,K,1
362,B,1
362,C,1
362,Y,1
362,X,1
362,G,1
362,T,1
362,O,1
1982,K,1
1982,Y,1
1982,C,1
1982,D,2
1982,P,1
1982,L,2
1982,J,1
1982,W,1
1728,S,1
1728,Q,1
1728,G,1
1728,B,1
1728,D,2
1728,Y,1
1728,H,1
1728,T,1
1728,K,1
919,C,2
919,X,1
919,H,1
919,E,1
919,P,2
919,D,1
919,G,1
919,Q,1
677,W,2
677,C,2
677,U,2
677,Z,1
677,X,1
677,J,1
677,F,1
1846,W,1
1846,L,1
1846,S,1
1846,D,2
1846,K,1
1846,H,1
1846,P,1
1846,U,1
1846,E,1
1005,W,2
1005,Y,1
1005,P,1
1005,N,1
1005,T,1
1005,S,1
1005,H,1
1005,I,1
1005,C,1
1491,P,1
1491,D,1
1491,I,1
1491,M,2
1491,T,1
1491,H,1
1491,S,1
1491,J,1
1491,C,1
632,D,2
632,T,3
632,E,1
632,O,1
632,M,1
632,C,1
632,G,1
1803,W,3
1803,G,2
1803,C,1
1803,L,1
1803,X,1
1803,V,1
1803,Y,1
1040,G,1
1040,V,1
1040,X,1
1040,Z,2
1040,L,2
1040,Y,1
1040,P,1
1040,J,1
5,S,1
5,K,1
5,O,2
5,V,2
5,D,1
5,[,1
5,L,1
5,X,1
1429,C,2
1429,W,4
1429,U,1
1429,S,1
1429,E,1
1429,O,1
2072,D,2
2072,G,1
2072,C,1
2072,P,1
2072,S,1
2072,Y,2
2072,Z,1
2072,W,1
2037,Y,1
2037,C,1
2037,E,1
2037,D,1
2037,O,1
2037,N,1
2037,J,1
2037,Z,1
2037,I,1
2037,W,1
1304,N,1
1304,C,2
1304,Y,2
1304,P,1
1304,E,1
1304,L,2
1304,W,1
576,N,1
576,W,1
576,S,1
576,Z,1
576,I,1
576,C,2
576,G,1
576,K,2
1341,B,1
1341,Z,1
1341,W,1
1341,G,1
1341,C,1
1341,J,1
1341,R,1
1341,O,1
1341,F,1
1341,S,1
1790,W,1
1790,G,1
1790,P,2
1790,X,1
